name,salary,area_name,published_at
Менеджер по работе с корпоративными клиентами,43498.950000000004,Москва,2004-06-07 00:00:00.040
Программист,43498.950000000004,Москва,2004-06-10 00:00:00.040
Администратор базы данных,,Москва,2004-05-12 22:45:40.040
МЕНЕДЖЕР ПО ТЕХНИЧЕСКИМ РЕШЕНИЯМ (SOLUTION MARKETING MANAGER),,Москва,2004-05-13 09:28:45.040
Business Data Manager,,Москва,2004-05-13 09:34:31.040
Аналитик,,Москва,2004-05-13 10:16:55.040
"Программист. Код вакансии: ""Л-видео""",,Москва,2004-05-13 11:14:51.040
"Системный аналитик. Код вакансии: ""Л-СА""",,Москва,2004-08-18 17:58:38.040
"Специалист по ""Банк-Клиент""",26226.45,Москва,2004-08-02 14:58:30.040
Помощник руководителя проектов,43441.8,Москва,2004-05-13 12:08:00.040
"Рre-sales консультант. Код вакансии: ""АЗ-псм"".",,Москва,2004-05-21 00:00:00.040
Специалист по привлечению клиентов,14523.55,Москва,2004-07-19 12:29:07.040
Менеджер по продукту (мультимедиа услуги пользователям сотовой связи),32175.893200000002,Москва,2004-05-13 13:14:59.040
Специалист по электронным платежным системам,17376.72,Москва,2004-05-31 00:00:00.040
Инженер-программист управления разработки WorkFlow,34753.44,Москва,2004-05-13 13:23:44.040
Начальник отдела маркетинговых коммуникаций,57922.4,Москва,2004-05-13 13:37:04.040
Менеджер по корпоративным продажам продукции Dell,72403.0,Москва,2004-05-13 13:45:10.040
"Sales Representative (Telecommunication Systems, Moscow)",,Москва,2004-05-13 14:18:42.040
Системный Администратор,43441.8,Москва,2004-05-13 14:27:04.040
Ассистент-разработчик SAP R/3,34753.44,Москва,2004-05-13 14:55:28.040
Software Developer,34799.16,Москва,2004-06-11 10:33:28.040
Помощник системного администратора,13032.54,Москва,2004-05-13 00:00:00.040
Специалист в области Business Intelligence и Data Warehouse,,Москва,2004-05-13 15:50:08.040
Программист Oracle,34753.44,Москва,2004-05-13 15:57:19.040
Веб-программист,23168.960000000003,Москва,2004-05-13 16:02:44.040
Помощник менеджера,14480.6,Москва,2004-05-13 16:19:45.040
Сотрудник службы поддержки пользователей (IT-специалист) в западный банк (IKh- IB/1),31857.320000000003,Москва,2004-05-13 16:40:40.040
Специалист по работе с базами данных,17399.58,Москва,2004-06-11 10:52:33.040
Менеджер по продуктам Oracle e-Business Suite,,Москва,2004-05-28 00:00:00.040
Sales Account Managers (IT-solutions),,Москва,2004-05-13 18:27:41.040
Системный администратор,43570.65,Москва,2004-07-02 10:47:37.040
Старший системный администратор UNIX,72617.75,Москва,2004-07-26 12:30:02.040
Специалист АСКУЭ,29047.1,Москва,2004-07-02 10:16:28.040
Начальник отдела АСКУЭ,,Москва,2004-05-13 18:54:58.040
Главный инженер проекта (ГИП),43570.65,Москва,2004-07-02 10:16:17.040
Специалист в области Business Intelligence и Data Warehouse,,Москва,2004-06-07 00:00:00.040
Аналитик по поддержке бизнес систем,,Москва,2004-05-13 19:38:59.040
Консультант по внедрению ERP,,Москва,2004-08-06 18:41:24.040
Редактор интернет-ресурса,14480.6,Москва,2004-05-13 22:41:54.040
Аналитик,,Москва,2004-06-04 00:00:00.040
Консультант по MBS Navision,34856.520000000004,Санкт-Петербург,2004-07-05 17:36:06.040
Системный администратор,14499.650000000001,Москва,2004-06-10 00:00:00.040
Ведущий консультант по управленческому учету,49234.04,Москва,2004-05-14 11:49:28.040
Менеджер по развитию бизнеса,86883.6,Москва,2004-05-14 11:54:04.040
Product manager (Security Systems),,Москва,2004-06-08 00:00:00.040
Системный администратор (работа с пользователями),,Москва,2004-05-14 14:37:21.040
Draftsman (Tchekhov factory),,Москва,2004-05-14 14:59:53.040
Руководитель отдела PR и маркетинга,43570.65,Москва,2004-07-05 12:09:00.040
Инженер-эксперт отдела внедрения,28961.2,Москва,2004-05-14 15:53:10.040
ПРОГРАММИСТ,,Москва,2004-05-14 16:35:30.040
Арт-Директор,,Санкт-Петербург,2004-05-14 17:06:45.040
Консультант по модулю ТОРО,57922.4,Москва,2004-05-14 17:12:58.040
"Консультант по модулю FI, CO",,Москва,2004-05-14 17:22:36.040
Руководитель проекта,,Москва,2004-05-14 17:35:35.040
Системный администратор (NF-1740-AB),30449.265000000003,Москва,2004-06-09 00:00:00.040
"Специалист по платежным системам в банк. Код вакансии: ""ЛА-платеж""",40665.94,Москва,2004-07-26 11:00:00.040
Арт-Директор,,Москва,2004-05-14 19:02:24.040
WEB-Программист,34753.44,Москва,2004-05-14 22:05:23.040
Программист,17376.72,Москва,2004-05-14 22:09:10.040
Специалист по бюджетированию,,Москва,2004-06-02 00:00:00.040
Коммерческий представитель (Екатеринбург),23168.960000000003,Екатеринбург,2004-05-15 18:36:53.040
Коммерческий представитель (Ростов-на-Дону),23168.960000000003,Ростов-на-Дону,2004-05-15 18:40:09.040
Коммерческий представитель (Новосибирск),23168.960000000003,Новосибирск,2004-05-15 18:43:07.040
Коммерческий представитель (Н. Новгород),23168.960000000003,Нижний Новгород,2004-05-15 18:45:45.040
Коммерческий представитель (Иркутск),23168.960000000003,Иркутск,2004-05-15 00:00:00.040
Коммерческий представитель (Самара),23168.960000000003,Самара,2004-05-15 18:51:21.040
Коммерческий представитель (С-Петербург),28961.2,Санкт-Петербург,2004-05-15 18:53:53.040
Коммерческий представитель (Москва),28961.2,Москва,2004-05-15 18:55:47.040
Программист,34753.44,Москва,2004-05-16 21:44:44.040
Senior Software Programmer,52130.16,Москва,2004-05-17 00:00:00.040
