name,salary,area_name,published_at
Программист Excel в службу финансового анализа и планирования,22785.68,Москва,2006-01-10 14:33:14.030
Ведущий аналитик,53562.2,Москва,2006-11-25 18:38:29.030
SAP FI-SL consultant,140605.5,Москва,2006-03-13 11:23:27.030
System Engineer /Pre-sales Engineer (IK-C-Pre-sales),106807.875,Москва,2006-01-16 11:28:49.030
Начальник отдела поддержки банковских технологий,54484.8,Москва,2006-05-16 13:44:36.040
Специалист по внедрению,,Киев,2006-03-06 13:04:18.030
Консультант,,Москва,2006-09-12 10:10:34.040
Сервис-инженер.,16068.66,Москва,2006-11-17 09:33:26.030
Инженер группы проводных решений (оборудование доступа).,37719.22,Москва,2006-07-04 09:09:10.040
Инженер группы проводных решений (оборудование СП и мультиплексирования).,34748.35,Москва,2006-09-15 18:11:03.040
Стажёр-инженер J2EE приложений,,Москва,2006-04-13 15:21:45.040
ABAP expert,142410.5,Москва,2006-01-16 11:16:42.030
Программист,,Москва,2006-03-07 11:35:15.030
Консультант по финансовому контуру Oracle E-Business Suite,54484.8,Москва,2006-05-29 11:09:05.040
Relationship Manager/Investment Consultant,,Москва,2006-06-09 09:07:44.040
Специалист по реструктуризации и оптимизации бизнес-процессов со знанием ARIS,40403.25,Москва,2006-06-29 14:02:25.040
Программист 1С,38779.44,Москва,2006-04-17 11:13:41.040
Программист 1С,39874.94,Москва,2006-01-10 13:01:33.030
Инженер по тестированию,12464.82,Нижний Новгород,2006-04-20 11:50:13.040
Инженер-программист,22159.68,Нижний Новгород,2006-04-20 11:50:13.040
Инженер-программист,22159.68,Нижний Новгород,2006-04-20 11:50:13.040
Инженер-программист (Java),22159.68,Нижний Новгород,2006-04-20 11:50:14.040
Маркетолог,,Москва,2006-08-04 14:34:03.040
Программист С#,,Москва,2006-08-04 14:34:03.040
Тренер - Консультант,,Москва,2006-08-04 14:34:03.040
Требуется ABAP-программист в управление разработки ПО Роботизированного комплекса.,,Москва,2006-05-12 18:47:56.040
СПЕЦИАЛИСТ ПО ПОДДЕРЖКЕ СИСТЕМЫ БАНК-КЛИЕНТ,,Москва,2006-03-09 09:54:56.030
Начальник/ведущий специалист Управления сопровождения прикладного ПО,56964.2,Москва,2006-01-15 20:49:29.030
Специалист по маркетинговым коммуникациям,28130.5,Москва,2006-02-13 18:59:15.030
Инженер службы технической поддержки,281.211,Нижний Новгород,2006-03-21 12:45:15.030
СИСТЕМНЫЙ АНАЛИТИК,,Москва,2006-01-20 11:40:38.030
Measurement Engineer for Characterisation,,Киев,2006-02-09 12:47:44.030
Test Systems Designer,,Киев,2006-05-30 14:44:44.040
Менеджер по работе с клиентами / развитию бизнеса,37976.175,Москва,2006-02-01 10:31:18.030
Senior Oracle DBA,,Москва,2006-10-20 11:54:42.040
Ведущий консультант по разработке методологии управленческого учета/бюджетирования,,Москва,2006-03-31 11:37:16.040
Инженер по видеоконференцсвязи (ВКС),16872.66,Москва,2006-03-16 19:25:51.030
Системный администратор (UNIX/Oracle),40164.42,Москва,2006-04-06 16:49:21.040
Математик-программист,31252.985500000003,Санкт-Петербург,2006-02-20 09:26:50.030
Разработчик биллинговых систем (С++),44443.575000000004,Москва,2006-06-15 13:04:56.040
Технический специалист по сетям доступа,54484.8,Москва,2006-05-30 17:16:41.040
Ведущий менеджер по продажам систем информационной безопасности,,Москва,2006-07-25 14:02:14.040
Менеджер по контрактному обслуживанию,19069.68,Москва,2006-05-10 09:25:42.040
Менеджер по продажам,27699.6,Москва,2006-04-17 10:03:53.040
"Руководитель проекта (вакансия БЛМ-Консорт, код позиции - ST)",142410.5,Москва,2006-01-16 10:43:18.030
Программист,28130.5,Москва,2006-02-16 12:31:17.030
Инженер-электронщик,33745.32,Москва,2006-03-13 13:05:55.030
Ведущего специалиста по информационной безопасности,28121.1,Москва,2006-03-28 09:13:58.040
Консультант по системам управления ИТ-инфраструктурой,,Москва,2006-05-29 11:09:05.040
CAD Mixed Flow Specialist,,Киев,2006-01-24 11:53:36.030
Системный администратор,25317.45,Москва,2006-02-06 10:37:41.030
Программист в компанию по автоматизации торговых предприятий,42723.15,Москва,2006-01-23 16:43:47.030
Технический писатель,30943.550000000003,Москва,2006-02-10 13:50:58.030
Системный аналитик,56964.2,Москва,2006-01-16 11:00:23.030
Программист 1С,37976.175,Москва,2006-02-20 17:48:37.030
Менеджер по направлению автоматизации в госсекторе,,Москва,2006-07-24 11:26:55.040
Internal Auditor,39369.54,Москва,2006-03-14 14:49:29.030
Embedded Software Designer,,Киев,2006-05-30 14:44:44.040
Application Engineer,,Киев,2006-05-30 14:44:44.040
Аналитик по автоматизированным банковским системам,36557.43,Москва,2006-03-01 11:43:19.030
Специалист по системам дистанционного обслуживания,32183.64,Москва,2006-08-02 11:20:56.040
Руководитель отдела разработки ПО,48496.14,Москва,2006-07-03 15:03:28.040
DV Programmer (Crystal Reports) (IK-R-Prog),56964.2,Москва,2006-01-23 14:55:26.030
Программист 1С,42195.75,Москва,2006-02-11 13:12:58.030
"Старший консультант/ Консультант по SAP R/3 (CO) (вакансия БЛМ-Консорт, код позиции - ST)",170892.6,Москва,2006-01-16 10:43:19.030
"Менеджер по работе с партнёрами (Армения, Грузия)",40403.25,Москва,2006-06-26 10:28:11.040
Менеджер по продажам ERP-систем,,Москва,2006-11-03 13:41:29.030
Разработчик С++,,Москва,2006-03-13 11:49:05.030
Program Manager/Senior Project Manager,,Москва,2006-01-10 14:32:14.030
Старший менеджер по продажам/sales manager,50634.9,Москва,2006-02-14 12:12:34.030
Инженер по видеоконференцсвязи,44319.36,Москва,2006-04-20 17:10:47.040
Ведущий инженер (сфера телекоммуникаций),,Киев,2006-05-17 17:57:11.040
Senior Consultant / Assistant Manager with Performance Improvement Department (Vacancy by BLM-Consort),,Москва,2006-02-06 17:16:55.030
Пресейл инженер,,Москва,2006-01-23 10:43:00.030
Product marketing manager,,Москва,2006-10-05 17:56:22.040
Менеджер по работе с крупными клиентами,41549.4,Московская область - Юг,2006-04-20 14:01:59.040
Специалист по внедрению 1С,43587.84,Москва,2006-05-10 12:43:13.040
Преподаватель Учебного Центра,28121.1,Москва,2006-03-21 15:33:30.030
"Программист баз данных (MS SQL, Access)",23910.925000000003,Московская область - Юг,2006-02-02 10:45:14.030
Заместитель руководителя направления по технической архитектуре,66823.75,Москва,2006-09-12 14:42:58.040
Инженер-проектировщик АСУ ТП,29537.025,Москва,2006-02-14 17:31:32.030
Менеджер по работе с клиентами,32075.4,Москва,2006-09-18 16:51:07.040
Системный администратор,,Киев,2006-05-30 09:31:10.040
