name,salary_from,salary_to,currency,area_name,published_at
"Менеджер по проектированию торгового пространства (ул. 2-я Шоссейная, 3А)",70000,,RUR,,2022-12-15T06:42:49+0300
Ведущий специалист по системам связи и телекоммуникациям,50000,,RUR,Екатеринбург,2022-12-15T06:06:39+0300
Оператор станков с ЧПУ,50000,,RUR,Пермь,2022-12-15T06:34:08+0300
Энергомеханик,240000,,KZT,поселок 71-й Разъезд,2022-12-15T06:33:45+0300
Консультант-аналитик программ 1С,,,,Омск,2022-12-15T06:13:21+0300
Преподаватель (Грузоподъемные механизмы),26000,32000,RUR,Ачинск,2022-12-15T06:23:27+0300
Фрезеровщик,55000,,RUR,Уфа,2022-12-15T06:30:23+0300
Инженер-электроник Инженер АСУ ТП программист,,,,Владивосток,2022-12-15T06:38:07+0300
Преподаватель технического обслуживания и ремонта автотранспорта,26000,32000,RUR,Ачинск,2022-12-15T06:23:02+0300
Монтажник ВОЛС,50000,,RUR,,2022-12-15T06:01:21+0300
Мастер производственного обучения по слесарному делу,30000,35000,RUR,Ачинск,2022-12-15T06:19:47+0300
Главный механик в производстве,,,,село Маячный,2022-12-15T06:20:11+0300
DevOps инженер (Junior / Middle),,,,Сочи,2022-12-15T06:25:08+0300
Инженер по информационной безопасности,100000,,RUR,Екатеринбург,2022-12-15T06:47:27+0300
Резчик на пилах ножовках и станках,30000,,RUR,Пермь,2022-12-15T06:51:04+0300
"Менеджер по развитию розничной сети (ул. 2-я Шоссейная, 3А)",70000,120000,RUR,Владивосток,2022-12-15T06:42:45+0300
Ведущий программист 1С,,,,,2022-12-15T06:47:26+0300
Ведущий программист 1С,,,,,2022-12-15T06:47:26+0300
Техник ОПС,50000,,RUR,Томск,2022-12-15T06:29:30+0300
Программист 1C 8,,,,Барнаул,2022-12-15T06:20:09+0300
.NET разработчик (Middle),,,,Сочи,2022-12-15T06:18:53+0300
Инженер-программист Embedded Linux,60000,,RUR,Екатеринбург,2022-12-15T06:09:20+0300
"Менеджер по развитию розничной сети (ул. 2-я Шоссейная, 3А)",70000,120000,RUR,Владивосток,2022-12-15T06:42:41+0300
Unity разработчик (Middle),,,,Екатеринбург,2022-12-15T06:18:04+0300
Инженер по IP-телефонии (главный специалист),60000,,RUR,Екатеринбург,2022-12-15T06:09:13+0300
Ведущий инженер-программист 1С,90000,,RUR,Челябинск,2022-12-15T06:44:55+0300
Ведущий программист 1С,,,,,2022-12-15T06:47:26+0300
PHP разработчик,,,,Сочи,2022-12-15T06:37:31+0300
Программист 1С,,,,Москва,2022-12-15T06:58:02+0300
Unity разработчик (Middle),,,,Сочи,2022-12-15T06:19:23+0300
"Менеджер по проектированию торгового пространства (ул. 2-я Шоссейная, 3А)",70000,,RUR,,2022-12-15T06:42:53+0300
DevOps инженер (Junior / Middle),,,,Екатеринбург,2022-12-15T06:24:49+0300
Дизайнер,150000,300000,KZT,город Алматы,2022-12-15T07:13:51+0300
Разработчик .net Middle/Senior,,,,Челябинск,2022-12-15T07:40:53+0300
Стажер-Автотестирование (Java),,20000,RUR,Уфа,2022-12-15T07:09:37+0300
Программист-разработчик,,,,Новокузнецк,2022-12-15T07:13:39+0300
Ведущий инженер по ИТ (дочернее общество ПАО «НК «Роснефть»),67000,,RUR,муниципальное образование Город Екатеринбург,2022-12-15T07:34:57+0300
Оператор станков с ЧПУ,50000,,RUR,Иркутск,2022-12-15T07:00:51+0300
Инженер по программному обеспечению и информационной безопасности,120000,130000,KZT,Алматы,2022-12-15T07:15:41+0300
Оператор ЧПУ (ученик),52000,59000,RUR,Челябинск,2022-12-15T07:51:27+0300
Аналитик отдела продаж,120000,,RUR,,2022-12-15T07:56:47+0300
Системный аналитик/Бизнес-аналитик,,,,,2022-12-15T07:57:16+0300
Менеджер проектов,600000,600000,KZT,,2022-12-15T07:08:25+0300
Системный аналитик/Бизнес-аналитик,,,,,2022-12-15T07:57:16+0300
Главный механик,150000,150000,RUR,Сургут,2022-12-15T07:46:19+0300
Заместитель начальника отдела планирования и учета программ и проектов,60000,,RUR,Уфа,2022-12-15T07:13:06+0300
Системный администратор,45000,,RUR,деревня Нелюбино,2022-12-15T07:43:11+0300
Подменный Механик автоколонны,30000,30000,RUR,Красноярск,2022-12-15T07:45:08+0300
Инженер по надзору за монтажом слаботочных систем,,,,,2022-12-15T07:13:02+0300
Системный аналитик/Бизнес-аналитик,,,,,2022-12-15T07:57:16+0300
Менеджер по продажам сельхозтехники и спецтехники,100000,600000,RUR,Уфа,2022-12-15T07:29:21+0300
Системный аналитик/Бизнес-аналитик,,,,,2022-12-15T07:57:16+0300
Программист,70000,,RUR,Пенза,2022-12-15T07:51:20+0300
Начальник участка технического обслуживания,,,,Златоуст,2022-12-15T07:33:27+0300
Инсталлятор,45000,,RUR,,2022-12-15T07:24:10+0300
Фрезеровщик (г. Ижевск),100000,,RUR,,2022-12-15T07:36:22+0300
Младший программист 1С,40000,,RUR,Ижевск,2022-12-15T07:39:52+0300
Начальник Отдела информационных технологий,,,,,2022-12-15T07:37:55+0300
Токарь-универсал 5 разряда,132000,147000,RUR,,2022-12-15T07:35:42+0300
Координатор (менеджер/руководитель проекта) по этнокультурным проектам,300000,350000,KZT,,2022-12-15T07:44:33+0300
Специалист отдела информационных технологий,45000,,RUR,,2022-12-15T07:10:22+0300
Электромонтажник РЭА,,,,Таганрог,2022-12-15T07:03:39+0300
Инженер электромеханического ремонта,70000,120000,RUR,,2022-12-15T07:26:45+0300
Инсталлятор,48000,,RUR,,2022-12-15T07:08:05+0300
Оператор ЧПУ (Ижевск),110000,,RUR,,2022-12-15T07:32:04+0300
PHP-программист,,,,Владивосток,2022-12-15T07:08:00+0300
Специалист технической поддержки,52000,,RUR,Екатеринбург,2022-12-15T07:18:24+0300
Механик,,73500,RUR,,2022-12-15T07:18:45+0300
Механик-наладчик производственного оборудования,60000,70000,RUR,Солнечногорск,2022-12-15T07:53:59+0300
Руководитель по работе с проектными институтами,80000,150000,RUR,Екатеринбург,2022-12-15T07:38:09+0300
Токарь-универсал,180000,,KZT,Алматы,2022-12-15T07:29:31+0300
Инженер-механик,,60000,RUR,Воронеж,2022-12-15T07:04:16+0300
Инженер систем связи,39000,,RUR,Дюртюли,2022-12-15T07:09:58+0300
Специалист Техподдержки/Системный администратор,30000,,RUR,Тольятти,2022-12-15T07:15:44+0300
Специалист первой линии технической поддержки,,,,Ижевск,2022-12-15T07:37:28+0300
Аналитик отдела продаж,,,,,2022-12-15T07:56:47+0300
Менеджер администрирования сайтов,,,,,2022-12-15T07:22:55+0300
Шлифовщик-токарь (г.Ижевск),100000,,RUR,,2022-12-15T07:34:09+0300
Программист,,,,село Красная Нива,2022-12-15T07:19:32+0300
Специалист по защите информации,,,,Томск,2022-12-15T07:12:22+0300
Аналитик инвестиционного проекта,90000,,RUR,Новокузнецк,2022-12-15T07:54:39+0300
Оператор станка,40000,55000,RUR,село Клещевка,2022-12-15T07:53:09+0300
Менеджер по развитию бизнеса (Информационная безопасность),,,,,2022-12-15T07:19:06+0300
"Расточник, Ижевск",120000,,RUR,,2022-12-15T07:33:36+0300
Frontend-разработчик (Vue.Js),,,,,2022-12-15T07:48:20+0300
Специалист технической поддержки,35000,50000,RUR,поселок городского типа Стройкерамика,2022-12-15T07:48:11+0300
Старший электромеханик,50000,52000,RUR,,2022-12-15T07:51:52+0300
Руководитель проекта (Дорожное строительство),,,,,2022-12-15T07:20:48+0300
Монтажник РЭАиП,,60000,RUR,Омск,2022-12-15T07:17:05+0300
Оператор-резчик металла на ножницах и прессах (производство),40000,60000,RUR,Новосибирск,2022-12-15T07:10:41+0300
"Расточник, Ижевск",120000,,RUR,,2022-12-15T07:33:20+0300
Токарь,,,,Подольск,2022-12-15T07:14:37+0300
Android-разработчик,,,,,2022-12-15T07:57:34+0300
Менеджер проектов (стройка),,,,Новосибирск,2022-12-15T07:20:31+0300
IOS разработчик,,,,,2022-12-15T07:54:23+0300
Зуборезчик (Ижевск),100000,,RUR,,2022-12-15T07:33:52+0300
PHP-разработчик (Laravel),120000,,RUR,Санкт-Петербург,2022-12-15T07:14:23+0300
Руководитель проекта (Дорожное строительство),,,,,2022-12-15T07:20:40+0300
Главный специалист по предиктивной диагностике в единой службе диагностики дирекции по ремонтам,,,,,2022-12-15T07:34:13+0300
Специалист по анализу и разработке производственных технологий,,,,,2022-12-15T07:14:55+0300
Оператор электроэрозионного станка с ЧПУ,40000,,RUR,Киров,2022-12-15T07:21:47+0300
Специалист по анализу и разработке производственных технологий,,,,,2022-12-15T07:14:55+0300
Аналитик по запуску новой продукции,,,,Ижевск,2022-12-15T07:36:45+0300
Менеджер проектов,,,,Томск,2022-12-15T07:12:18+0300
Механик по ремонту оборудования,40000,50000,RUR,,2022-12-15T07:42:34+0300
Помощник андеррайтера/специалиста по рассмотрению заявок,33000,36000,RUR,Уфа,2022-12-15T07:23:52+0300
Старший электромеханик,50000,52000,RUR,,2022-12-15T07:51:52+0300
Специалист по диспетчеризации лифтов,350000,500000,KZT,,2022-12-15T07:55:30+0300
Токарь-карусельщик,120000,130000,RUR,,2022-12-15T07:56:44+0300
Токарь-расточник,120000,130000,RUR,,2022-12-15T07:56:24+0300
Системный администратор,,,,Екатеринбург,2022-12-15T07:34:54+0300
